"",
Data as reported by 10AM CET 24 February 2020*,
"HIGHLIGHTS•One new Member State (Kuwait) reported cases of COVID-19 in the past 24hours.•SincetheemergenceofCOVID-19wehaveseeninstancesofpublicstigmatizationamongspecificpopulations,andtheriseofharmfulstereotypes.Stigmatizationcouldpotentiallycontributetomoreseverehealth problems, ongoing transmission, and difficulties controlling infectiousdiseases during an epidemic. Please see the Subject in Focus section for moreinformation on how to counter stigmatizing attitudes.",,"SITUATION IN NUMBERStotal and new cases in last 24hoursGlobally79 331 confirmed (715 new)China77 262 confirmed (415 new)2595 deaths (150 new)Outside of China2069 confirmed (300 new)29 countries (1 new)23 deaths (6 new)WHO RISK ASSESSMENTChinaVery HighRegional LevelHighGlobal LevelHigh"
"",,
"",
"",
"",
Cumulative Province/  Daily,
Population,
Region/,
"(10,000s)",
Confirmed Suspected,Confirmed
City cases cases,Deaths cases Deaths
"",
Hubei 5917 398 450,149 64287 2495
Guangdong 11346 3 0,0 1345 6
Henan 9605 0 9,0 1271 19
Zhejiang 5737 0 5,0 1205 1
Hunan 6899 0 1,0 1016 4
Anhui 6324 0 0,0 989 6
Jiangxi 4648 0 0,0 934 1
Shandong 10047 1 1,0 755 4
Jiangsu 8051 0 0,0 631 0
Chongqing 3102 2 8,0 575 6
Sichuan 8341 1 8,0 527 3
Heilongjiang 3773 0 0,0 480 12
Beijing 2154 0 30,0 399 4
Shanghai 2424 0 36,0 335 3
Hebei 7556 0 0,0 311 6
Fujian 3941 0 1,0 293 1
Guangxi 4926 2 4,0 251 2
Shaanxi 3864 0 0,0 245 1
Yunnan 4830 0 7,0 174 2
Hainan 934 0 10,1 168 5
Guizhou 3600 0 2,0 146 2
Tianjin 1560 0 22,0 135 3
Shanxi 3718 0 4,0 132 0
Liaoning 4359 0 15,0 121 1
Jilin 2704 2 7,0 93 1
Gansu 2637 0 0,0 91 2
Xinjiang 2487 0 0,0 76 2
Inner Mongolia 2534 0 0,0 75 0
Hong Kong SAR  745 4 0,0 74 2
Ningxia 688 0 0,0 71 0
Taipei and environs 2359 2 0,0 28 1
Qinghai 603 0 0,0 18 0
Macao SAR 66 0 0,0 10 0
Xizang 344 0 0,0 1 0
Total 142823 415 620,150 77262 2595
"",,Likely place of exposure‡,,
"",,Outside,,
"",Confirmed†,In reporting,Total cases with site of,Total
Country/Territory/Area,,China reporting,transmission under,deaths
"",cases (new),country and,,
"",,(new) country,investigation (new),(new)
"",,outside,,
"",,(new),,
"",,China (new),,
Western Pacific Region,,,,
Republic of Korea,763 (161),13 (0) 4 (0) 605 (129),141 (32),7 (2)
Japan,144 (12),28 (0) 5 (0) 104 (10),7 (2),1 (0)
Singapore,89 (0),24 (0) 0 (0) 65 (0),0 (0),0 (0)
Australia,22 (0),12 (0) 7 (0) 3 (0),0 (0),0 (0)
Malaysia,22 (0),18 (0) 2 (0) 2 (0),0 (0),0 (0)
Viet Nam,16 (0),8 (0) 0 (0) 8 (0),0 (0),0 (0)
Philippines,3 (0),3 (0) 0 (0) 0 (0),0 (0),1 (0)
Cambodia,1 (0),1 (0) 0 (0) 0 (0),0 (0),0 (0)
South-East Asia Region,,,,
Thailand,35 (0),23 (0) 0 (0) 6 (0),6 (0),0 (0)
India,3 (0),3 (0) 0 (0) 0 (0),0 (0),0 (0)
Nepal,1 (0),1 (0) 0 (0) 0 (0),0 (0),0 (0)
Sri Lanka,1 (0),1 (0) 0 (0) 0 (0),0 (0),0 (0)
Region of the Americas,,,,
United States of America,35 (0),14 (0) 18 (0) 2 (0),1 (0),0 (0)
Canada,9 (0),7 (0) 1 (0) 1 (0),0 (0),0 (0)
European Region,,,,
Italy,124 (48),3 (0) 0 (0) 10 (0),111 (48),2 (0)
Germany,16 (0),2 (0) 0 (0) 14 (0),0 (0),0 (0)
France,12 (0),5 (0) 0 (0) 7 (0),0 (0),1 (0)
The United Kingdom,9 (0),2 (0) 6 (0) 1 (0),0 (0),0 (0)
Russian Federation,2 (0),2 (0) 0 (0) 0 (0),0 (0),0 (0)
Spain,2 (0),0 (0) 2 (0) 0 (0),0 (0),0 (0)
Belgium,1 (0),1 (0) 0 (0) 0 (0),0 (0),0 (0)
Finland,1 (0),1 (0) 0 (0) 0 (0),0 (0),0 (0)
Israel,1 (0),0 (0) 1 (0) 0 (0),0 (0),0 (0)
Sweden,1 (0),1 (0) 0 (0) 0 (0),0 (0),0 (0)
Eastern Mediterranean Region,,,,
Iran (Islamic Republic of),43 (15),0 (0) 0 (0) 28 (0),15 (15),8 (3)
United Arab Emirates,13 (0),6 (0) 2 (0) 5 (0),0 (0),0 (0)
Kuwait,3 (3),0 (0) 3 (3) 0 (0),0 (0),0 (0)
Egypt,1 (0),0 (0) 0 (0) 1 (0),0 (0),0 (0)
Lebanon,1 (0),0 (0) 1 (0) 0 (0),0 (0),0 (0)
"",,,,
Subtotal for all regions,1374 (239),179 (0) 52 (3) 862 (139),281 (97),20 (5)
International conveyance§,,,,
"",695 (61),0 (0) 0 (0) 0 (0),695 (61),3 (1)
(Diamond Princess),,,,
Grand total,2069 (300),179 (0) 52 (3) 862 (139),976 (158),23 (6)
